common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Checkered wolf eel,Lycenchelys kolthoffi,Zoarcidae,Marine,Actinopterygii,Marine fishes,726,7,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,3,23.2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Moray wolf eel,Lycenchelys muraena,Zoarcidae,Marine,Actinopterygii,Marine fishes,680,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,22.6,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Lycenchelys platyrhina,Zoarcidae,Marine,Actinopterygii,Marine fishes,224,NA,NA,NA,NA,NA,DD,2014,0,1,0,1,3,1,14.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA
Adolf's eelpout,Lycodes adolfi,Zoarcidae,Marine,Actinopterygii,Marine fishes,792,33,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,24,NA,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA
Doubleline eelpout,Lycodes eudipleurostictus,Zoarcidae,Marine,Actinopterygii,Marine fishes,3799,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,44.5,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
Glacial eelpout,Lycodes frigidus,Zoarcidae,Marine,Actinopterygii,Marine fishes,11575,9,NA,500,NA,3.8,NA,NA,NA,NA,NA,NA,NA,4,69,NA,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,NA,NA,NA
Shulupaoluk,Lycodes jugoricus,Zoarcidae,Marine,Actinopterygii,Marine fishes,571,NA,NA,NA,NA,3.2,LC,2010,NA,NA,NA,NA,NA,2,21.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,LC
Ltken's eelpout,Lycodes luetkenii,Zoarcidae,Marine,Actinopterygii,Marine fishes,2140,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,35.5,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
White sea eelpout,Lycodes marisalbi,Zoarcidae,Marine,Actinopterygii,Marine fishes,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.3,NA,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
McAllister's eelpout,Lycodes mcallisteri,Zoarcidae,Marine,Actinopterygii,Marine fishes,2460,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,2,37.5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Saddled eelpout,Lycodes mucosus,Zoarcidae,Marine,Actinopterygii,Marine fishes,524,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,2,20.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Paamiut eelpout,Lycodes paamiuti,Zoarcidae,Marine,Actinopterygii,Marine fishes,792,NA,NA,NA,NA,NA,LC,2010,NA,NA,NA,NA,NA,1,24,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,1,LC
Pale eelpout,Lycodes pallidus,Zoarcidae,Marine,Actinopterygii,Marine fishes,970,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,2,26,NA,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
Canadian eelpout,Lycodes polaris,Zoarcidae,Marine,Actinopterygii,Marine fishes,878,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,25,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
Arctic eelpout,Lycodes reticulatus,Zoarcidae,Marine,Actinopterygii,Marine fishes,2218,10,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,36,NA,2,16,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,1,4,1,0,0,2,1,0,NA,NA,NA
Threespot eelpout,Lycodes rossi,Zoarcidae,Marine,Actinopterygii,Marine fishes,64,9,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Archer eelpout,Lycodes sagittarius,Zoarcidae,Marine,Actinopterygii,Marine fishes,71,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,27.3,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Longear eelpout,Lycodes seminudus,Zoarcidae,Marine,Actinopterygii,Marine fishes,5561,8,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,3,51.7,NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,NA,NA,NA
Scalebelly eelpout,Lycodes squamiventer,Zoarcidae,Marine,Actinopterygii,Marine fishes,970,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA
Polar eelpout,Lycodes turneri,Zoarcidae,Marine,Actinopterygii,Marine fishes,878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0,NA,NA,NA
NA,Lycodonus flagellicauda,Zoarcidae,Marine,Actinopterygii,Marine fishes,492,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,19.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Stout eelblenny,Anisarchus medius,Stichaeidae,Marine,Actinopterygii,Marine fishes,1396,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2,30,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Fourline snakeblenny,Eumesogrammus praecisus,Stichaeidae,Marine,Actinopterygii,Marine fishes,635,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,22,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Daubed shanny,Leptoclinus maculatus,Stichaeidae,Marine,Actinopterygii,Marine fishes,498,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,20,NA,4,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,NA,NA,NA
Slender eelblenny,Lumpenus fabricii,Stichaeidae,Marine,Actinopterygii,Marine fishes,2297,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,36.5,NA,0,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,Stichaeus punctatus,Stichaeidae,Marine,Actinopterygii,Marine fishes,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
Banded gunnel,Pholis fasciata,Pholidae,Marine,Actinopterygii,Marine fishes,1396,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,30,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Northern wolffish,Anarhichas denticulatus,Anarhichadidae,Marine,Actinopterygii,Marine fishes,20000,16,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,3,180,20000,3,15,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,3,1,0,0,NA,NA,NA
Northern sand lance,Ammodytes dubius,Ammodytidae,Marine,Actinopterygii,Marine fishes,878,10,NA,2e4,NA,3.3,NA,NA,NA,NA,NA,NA,NA,4,25,NA,8,56,1,0,1,1,1,5,2,1,3,0,4,3,1,0,1,5,0,0,3,1,1,4,3,1,0,1,3,2,3,3,2,NA,NA,NA
Pacific sand lance,Ammodytes hexapterus,Ammodytidae,Marine,Actinopterygii,Marine fishes,100,11,912,2e4,NA,3.4,NA,NA,NA,NA,NA,NA,NA,5,30,100,19,90,0,0,0,0,1,2,3,0,2,1,2,1,6,5,3,5,3,1,5,5,2,9,4,2,2,4,6,4,4,4,4,NA,NA,NA
Bering flounder,Hippoglossoides robustus,Pleuronectidae,Marine,Actinopterygii,Marine fishes,1396,30,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,3,30,NA,2,46,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,2,2,2,3,4,2,2,4,5,4,1,1,1,5,1,NA,NA,NA
Arctic flounder,Liopsetta glacialis,Pleuronectidae,Marine,Actinopterygii,Marine fishes,2064,28,2190,NA,0.5,3.6,LC,2008,NA,NA,NA,NA,NA,5,35,NA,0,35,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,2,2,1,1,2,1,3,2,1,2,2,3,2,1,2,2,2008,1,LC
Starry flounder,Platichthys stellatus,Pleuronectidae,Marine,Actinopterygii,Marine fishes,9100,24,2920,NA,NA,3.5,LC,2013,NA,NA,NA,NA,NA,4,91,9100,35,121,3,2,0,0,8,8,4,7,1,7,6,10,5,5,2,3,8,4,1,1,7,2,5,4,1,2,0,3,3,6,3,2013,1,LC
Greenland halibut,Reinhardtius hippoglossoides,Pleuronectidae,Marine,Actinopterygii,Marine fishes,7000,30,3826,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,4,110,7000,85,204,0,4,2,0,3,2,4,2,3,2,9,10,5,8,10,9,6,9,8,6,11,5,5,12,6,9,13,8,12,12,9,NA,NA,NA
Tundra Shrew,Sorex tundrensis,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,8,1.5,348,6.69,1.9,2,LC,2016,NA,NA,NA,NA,NA,6,NA,8,1,19,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,1,1,4,0,0,0,3,1,0,2,1,0,1996,3,LR/lc
Barren-ground Shrew,Sorex ugyunak,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,LC,2016,NA,NA,NA,NA,NA,6,NA,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,3,LR/lc
Pribilof Island Shrew,Sorex pribilofensis,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,NA,NA,NA,NA,NA,2,EN,2008,1,0,1,1,7,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,2,EN
Saint Lawrence Island Shrew,Sorex jacksoni,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,LC,2016,NA,NA,NA,NA,NA,6,NA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3,EN
Portenkoi's Shrew,Sorex portenkoi,Soricidae,Terrestrial,Mammalia,Terrestrial mammals,5,2.5,242,6.5,1.9,2,DD,2016,NA,NA,NA,NA,NA,6,NA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3,LR/lc
Alaska Hare,Lepus othus,Leporidae,Terrestrial,Mammalia,Terrestrial mammals,3068,18,266,3.96,2.07,2,LC,2008,NA,NA,NA,NA,NA,6,NA,3068,4,53,0,1,0,0,2,0,0,1,1,1,3,0,2,2,0,2,1,3,1,1,2,2,3,2,1,5,4,3,4,4,2,1996,3,LR/lc
Arctic Hare,Lepus arcticus,Leporidae,Terrestrial,Mammalia,Terrestrial mammals,3030,18,309,3.96,2.07,2,LC,2008,NA,NA,NA,NA,NA,6,NA,3030,14,75,1,2,2,1,3,2,0,3,2,2,2,4,6,5,3,2,1,3,2,4,2,2,1,2,3,2,1,5,3,2,2,1996,2,LR/lc
Alaska Marmot,Marmota broweri,Sciuridae,Terrestrial,Mammalia,Terrestrial mammals,3180,12.1,868,4.635,0.75,2,LC,2016,NA,NA,NA,NA,NA,6,NA,3180,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,2,0,0,1,1,1,1996,3,LR/lc
Arctic Ground Squirrel,Urocitellus parryii,Sciuridae,Terrestrial,Mammalia,Terrestrial mammals,747,2.6,383,6.3,1,2,LC,2016,1,1,0,0,3,6,NA,747,48,118,1,0,0,2,0,1,1,2,2,1,3,2,6,3,4,3,1,2,6,3,3,2,4,6,10,9,7,7,11,8,8,1996,4,LR/lc
Nearctic Collared Lemming,Dicrostonyx groenlandicus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,66,3.3,40,3.4,8.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,66,23,89,0,1,1,1,1,0,7,2,5,2,1,3,3,4,3,6,3,4,1,4,2,4,2,3,9,5,1,5,3,2,1,1996,3,LR/lc
Ungava Collared Lemming,Dicrostonyx hudsonius,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,57,0.7,NA,3.49,1.5,2,LC,2016,NA,NA,NA,NA,NA,5,NA,57,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,3,LR/lc
Nelson's Collared Lemming,Dicrostonyx nelsoni,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,58,3.3,40,3.4,2.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3,LR/lc
Richardson's Collared Lemming,Dicrostonyx richardsoni,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,55,3.3,91,3.5,2.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,55,3,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1996,3,LR/lc
Palearctic Collared Lemming,Dicrostonyx torquatus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,85,3.8,91,4.07,2,2,LC,2016,0,0,0,1,1,6,NA,85,2,17,1,0,0,0,1,0,2,0,0,1,0,0,3,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1996,3,LR/lc
Wrangel Island Collared Lemming,Dicrostonyx vinogradovi,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,68,3.8,91,3.85,1.75,2,DD,2016,0,0,0,1,1,6,NA,68,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3,CR
Norway Lemming,Lemmus lemmus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,70,3.3,24,7,2.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,70,20,121,0,0,1,1,1,1,0,2,2,0,3,2,5,8,8,5,0,6,5,2,7,4,4,1,11,5,8,13,7,4,5,1996,1,LR/lc
Nearctic Brown Lemming,Lemmus trimucronatus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,61,1.7,51,6.39,3.25,2,LC,2016,NA,NA,NA,NA,NA,6,NA,61,2,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,1,0,0,1,6,2,1,4,2,2,2,2008,2,LC
Singing Vole,Microtus miurus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,40,2.1,41,5.96,4.67,2,LC,2016,NA,NA,NA,NA,NA,6,NA,40,2,18,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,1,1,2,0,2,1996,3,LR/lc
Tundra Vole,Microtus oeconomus,Cricetidae,Terrestrial,Mammalia,Terrestrial mammals,58,2.2,30,7,3.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,58,66,306,2,0,0,1,1,5,5,4,15,8,9,16,14,8,14,14,10,10,14,13,15,16,14,13,19,11,21,11,10,8,5,1996,4,LR/nt
Caribou,Rangifer tarandus,Cervidae,Terrestrial,Mammalia,Terrestrial mammals,101250,21.8,662,1,1,2,VU,2016,1,1,1,0,9,6,NA,101250,466,1327,15,7,12,11,10,19,19,18,22,22,27,42,22,50,41,37,58,48,58,55,69,52,53,61,65,73,74,78,65,70,74,1965,4,NA
Muskox,Ovibos moschatus,Bovidae,Terrestrial,Mammalia,Terrestrial mammals,315000,27.4,1096,1,0.8,2,LC,2008,0,1,0,1,3,6,NA,315000,57,147,2,0,7,2,4,1,1,4,6,4,8,6,7,5,6,8,7,4,8,5,8,3,3,6,10,8,3,4,2,1,4,1996,2,LR/lc
Gray Wolf,Canis lupus,Canidae,Terrestrial,Mammalia,Terrestrial mammals,26625,20.6,669,6,0.8,3,LC,2010,1,1,0,0,5,6,NA,26625,433,1760,3,1,3,3,22,19,20,19,17,35,32,43,32,43,32,47,48,72,70,70,80,79,89,91,98,112,101,97,129,135,118,1982,9,V
Arctic Fox,Vulpes lagopus,Canidae,Terrestrial,Mammalia,Terrestrial mammals,5200,16.3,304,9,1,3,LC,2014,1,1,1,0,6,6,NA,5200,182,432,0,1,5,1,7,13,9,6,15,12,7,12,8,15,13,13,17,11,13,12,24,23,20,16,23,23,22,16,18,25,33,1996,4,LR/lc
Brown Bear,Ursus arctos,Ursidae,Terrestrial,Mammalia,Terrestrial mammals,277500,40,1313,2,0.4,2.5,LC,2017,1,1,0,1,32,6,NA,277500,437,1579,2,2,3,2,13,19,6,19,23,27,21,34,34,37,36,63,37,79,68,70,72,73,76,73,77,102,99,111,91,110,100,1996,4,LR/lc
Least Weasel,Mustela nivalis,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,47,9.1,120,5,1.5,3,LC,2016,1,1,0,0,4,6,NA,47,58,274,2,2,3,1,2,9,7,3,11,11,12,13,9,12,7,11,13,12,10,14,8,9,7,14,5,9,15,8,7,14,14,2016,1,LC
Stoat,Mustela erminea,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,110,12.5,95,6.77,1,3,LC,2016,NA,NA,NA,NA,NA,6,NA,110,112,419,3,2,1,3,7,5,9,8,12,19,13,19,19,19,18,18,23,18,17,23,20,19,10,17,10,20,15,11,13,10,18,1996,3,LR/lc
Wolverine,Gulo gulo,Mustelidae,Terrestrial,Mammalia,Terrestrial mammals,16333,19.5,710,3,0.5,3,LC,2016,1,1,0,0,13,6,NA,16333,118,213,1,2,1,1,2,0,2,2,4,3,4,6,2,3,4,7,6,12,5,9,29,10,6,12,10,13,14,13,11,13,6,1988,7,V
