common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Dunlin,Calidris alpina,Scolopacidae,Terrestrial,Aves,Terrestrial birds,53,28.8,730,4,1,3,6,LC,2017,1,0,1,1,16,1988,LR/lc,9,2,2,4,4,4,8,9,8,4,13,16,8,16,9,12,18,10,13,19,18,21,21,20,10,13,17,13,13,16,23,13
Stilt Sandpiper,Calidris himantopus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,57,11.1,730,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,1,1,0,0,2,1,2,1,1,1,0,1,2,0,1,0,2,1,0,0,1,1,0,2,1,0,1
Spoon-billed Sandpiper,Calidris pygmaea,Scolopacidae,Terrestrial,Aves,Terrestrial birds,32,NA,NA,4,NA,3,3,CR,2017,1,1,1,1,15,1994,VU,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1
Broad-billed Sandpiper,Calidris falcinellus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,37,6.8,NA,4,1,3,5,LC,2016,1,1,0,1,8,1988,LR/lc,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,1,1,0
Buff-breasted Sandpiper,Calidris subruficollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,62,NA,NA,4,1,3,4,NT,2017,1,1,0,1,18,1988,LR/lc,9,0,1,0,1,0,0,0,1,1,0,2,3,1,0,1,3,3,1,1,0,1,1,1,1,1,2,2,1,0,0,0
Ruff,Calidris pugnax,Scolopacidae,Terrestrial,Aves,Terrestrial birds,136,13.9,730,4,1,2.5,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,8,8,6,5,8,3,13,8,9,9,12,10,12,16,15,12,20,10,14,17,16,20,8,15,20,15,18,13,11,11,14
Red-necked Phalarope,Phalaropus lobatus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,34,12.9,365,3.955,1.5,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,3,1,1,3,0,1,3,1,0,1,1,1,1,1,1,2,4,0,1,1,1,1,1,0,2,3,4,2,3,1
Red Phalarope,Phalaropus fulicarius,Scolopacidae,Terrestrial,Aves,Terrestrial birds,56,6.1,363,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,2,3,1,1,2,2,2,2,1,0,2,2,4,0,1,2,1,4,0,1,5,1,1,3,1,3,2,3,2,4,1
Red-throated Loon,Gavia stellata,Gaviidae,Freshwater,Aves,Terrestrial birds,1816,24,1095,2,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,2,0,1,1,1,3,4,0,1,1,0,1,1,2,0,0,1,0,1,2,1,2,1,2,2,1,3,3,2,0
Black-throated Loon,Gavia arctica,Gaviidae,Freshwater,Aves,Terrestrial birds,2724,28,1095,1.74,2,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,1,2,2,0,1,0,0,2,0,1,0,1,0,1
